f81a67fb7f85,1439473409207.395996,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
001406284630,1439473409244.554932,"[-56, -47, -47, -45, -46, -58, -45, -44]",6
f81a67fb7f85,1439473409244.628906,"[-56, -46, -46, -44, -46, -58, -45, -44]",6
f02765408a10,1439473409251.160889,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473409251.248047,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
8086f28a2d5c,1439473409263.733887,"[-50, -50, -50, -50, -52, -50, -50, -50]",6
f02765408a10,1439473409264.877930,"[-45, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409287.105957,"[-56, -68, -71, -70, -64, -67, -67, -71]",6
f81a67fb7f85,1439473409287.133057,"[-57, -48, -48, -46, -47, -59, -47, -47]",6
f81a67fb7f85,1439473409287.164062,"[-56, -46, -46, -44, -46, -58, -45, -44]",6
f81a67fb7f85,1439473409308.750977,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473409323.047119,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409323.090088,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f02765408a10,1439473409324.662109,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
001406284630,1439473409335.431885,"[-45, -44, -44, -45, -46, -44, -45, -45]",6
f02765408a10,1439473409345.928955,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409346.580078,"[-56, -46, -47, -44, -45, -57, -45, -44]",6
8086f28a2d5c,1439473409396.146973,"[-47, -44, -44, -45, -45, -44, -45, -44]",6
f02765408a10,1439473409396.285889,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409396.326904,"[-57, -46, -47, -44, -46, -58, -45, -44]",6
f81a67fb7f85,1439473409396.354980,"[-57, -46, -46, -44, -46, -57, -45, -44]",6
8086f28a2d5c,1439473409396.427979,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409396.487061,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
8086f28a2d5c,1439473409396.493896,"[-47, -44, -44, -45, -45, -44, -45, -44]",6
f81a67fb7f85,1439473409404.509033,"[-49, -44, -45, -48, -46, -44, -46, -45]",6
f81a67fb7f85,1439473409427.513916,"[-61, -62, -60, -62, -64, -59, -58, -60]",6
f81a67fb7f85,1439473409427.662109,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473409427.737061,"[-45, -44, -44, -45, -46, -44, -44, -44]",6
8086f28a2d5c,1439473409443.951904,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f02765408a10,1439473409444.114990,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409449.060059,"[-45, -44, -44, -45, -46, -44, -44, -44]",6
f81a67fb7f85,1439473409461.729980,"[-57, -46, -47, -45, -46, -56, -45, -45]",6
8086f28a2d5c,1439473409467.204102,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473409473.060059,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409487.976074,"[-45, -44, -44, -45, -47, -44, -45, -44]",6
f81a67fb7f85,1439473409499.099121,"[-44, -44, -44, -44, -44, -44, -44, -44]",6
f02765408a10,1439473409499.185059,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
8086f28a2d5c,1439473409512.439941,"[-58, -46, -47, -44, -46, -56, -45, -44]",6
f02765408a10,1439473409513.748047,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
8086f28a2d5c,1439473409527.125977,"[-58, -47, -47, -45, -46, -56, -46, -45]",6
f02765408a10,1439473409531.699951,"[-58, -46, -47, -44, -46, -55, -45, -44]",6
f81a67fb7f85,1439473409564.581055,"[-57, -46, -47, -44, -45, -55, -45, -44]",6
f02765408a10,1439473409564.706055,"[-60, -47, -48, -45, -46, -57, -45, -44]",6
f02765408a10,1439473409564.712891,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409564.736084,"[-59, -47, -47, -45, -46, -56, -45, -45]",6
f81a67fb7f85,1439473409565.955078,"[-44, -44, -44, -44, -44, -44, -44, -44]",6
f02765408a10,1439473409601.547119,"[-44, -44, -44, -44, -44, -44, -44, -44]",6
f02765408a10,1439473409601.617920,"[-60, -47, -48, -45, -46, -57, -45, -44]",6
