index,latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v)
119,32.102804,34.812238,1,1,0.22,14,6,6,1.8,14,12896,48:04.7,48:04.7,16,0,0,16.084
120,32.102804,34.812237,1,1,0.22,14,6,6,1.8,14,13002,48:04.8,48:04.8,16,0,0,16.084
121,32.102804,34.812238,1,1,0.81,14,6,6,1.8,14,13105,48:04.9,48:04.9,16,0,0,16.084
122,32.102804,34.812238,1,1,1,14,6,6,1.8,14,13208,48:05.0,48:05.0,15,0,0,16.084
123,32.102804,34.812238,1,1,1.2,14,6,6,1.8,14,13310,48:05.1,48:05.1,15,0,0,16.084
124,32.102804,34.812238,1,1,0.71,14,6,6,1.8,14,13413,48:05.2,48:05.2,15,0,0,16.084
125,32.102804,34.812238,1,1,0.67,14,6,6,1.8,14,13519,48:05.3,48:05.3,15,0,0,16.084
126,32.102804,34.812237,1,1,0.45,14,6,6,1.8,14,13622,48:05.4,48:05.4,15,0,0,16.084
127,32.102804,34.812238,1,1,0.81,14,6,6,1.8,14,13727,48:05.5,48:05.5,14,0,0,16.084
128,32.102804,34.812238,1,1,1.43,14,6,6,1.8,14,13831,48:05.6,48:05.6,14,0,0,16.084
129,32.102805,34.812238,1,1,1.75,14,6,6,1.8,14,13934,48:05.7,48:05.7,14,0,0,16.025
130,32.102805,34.812239,1,1,2.38,14,6,6,2.38,14,14040,48:05.9,48:05.9,14,0,0,16.025
131,32.102806,34.81224,1,1,2.86,13,6,6,2.86,14,14143,48:06.0,48:06.0,15,0,0,16.025
132,32.102807,34.812241,1,1,3.33,13,6,6,3.33,14,14246,48:06.1,48:06.1,15,0,0,16.025
133,32.102808,34.812242,1,1,3.96,12,6,6,3.96,14,14349,48:06.2,48:06.2,14,0,0,16.025
134,32.102809,34.812243,1,1,4.59,12,6,6,4.59,14,14452,48:06.3,48:06.3,14,0,0,16.025
135,32.102811,34.812244,1,1,4.75,11,6,6,4.75,14,14556,48:06.4,48:06.4,16,0,0,16.025
136,32.102812,34.812246,1,1,5.22,10,6,6,5.22,14,14661,48:06.5,48:06.5,16,0,0,16.025
137,32.102813,34.812248,1,1,5.22,10,6,6,5.22,14,14767,48:06.6,48:06.6,16,0,0,16.025
138,32.102815,34.81225,2,2,5.22,9,6,6,5.22,14,14873,48:06.7,48:06.7,16,0,0,16.025
139,32.102816,34.812252,2,2,5.54,8,6,6,5.54,14,14978,48:06.8,48:06.8,16,0,0,16.008
140,32.102818,34.812253,2,2,5.54,7,6,6,5.54,14,15088,48:06.9,48:06.9,16,0,0,16.008
141,32.10282,34.812255,2,2,5.85,7,6,6,5.85,14,15191,48:07.0,48:07.0,16,0,0,16.008
142,32.102821,34.812257,1,1,5.85,6,6,6,5.85,14,15294,48:07.1,48:07.1,16,0,0,16.008
143,32.102823,34.812259,1,1,6.33,5,6,6,6.33,14,15397,48:07.2,48:07.2,16,0,0,16.008
144,32.102825,34.812262,1,1,6.64,4,6,6,6.64,14,15502,48:07.3,48:07.3,16,0,0,16.008
145,32.102827,34.812264,1,1,6.96,4,6,6,6.96,14,15608,48:07.4,48:07.4,16,0,0,16.008
146,32.102829,34.812266,1,1,7.44,3,6,6,7.44,14,15713,48:07.5,48:07.5,16,0,0,16.008
147,32.102831,34.812269,2,2,7.75,3,6,6,7.75,14,15816,48:07.6,48:07.6,16,0,0,16.008
148,32.102833,34.812272,2,2,8.23,3,6,6,8.23,14,15919,48:07.7,48:07.7,16,0,0,16.008
149,32.102836,34.812275,2,2,8.4,3,6,6,8.4,14,16023,48:07.8,48:07.8,16,0,0,16.023
150,32.102841,34.812282,2,2,9.2,5,6,6,9.2,14,16131,48:07.9,48:07.9,16,0,0,16.023
151,32.102843,34.812285,2,2,9.51,7,6,6,9.51,14,16238,48:08.1,48:08.1,16,0,0,16.023
152,32.102846,34.812289,2,2,9.68,8,6,6,9.68,14,16343,48:08.2,48:08.2,16,0,0,16.023
