001406300000,1443690026898.430908,"[-48, -46, -45, -47, -49, -45, -45, -47]",40
3c46d81ced78,1443690026921.581055,"[-54, -55, -55, -55, -56, -55, -56, -55]",7
18f643170231,1443690026942.371094,"[-69, -72, -70, -79, -68, -67, -71, -62]",7
001406283590,1443690026948.173096,"[-69, -75, -59, -73, -72, -64, -61, -68]",7
5cf8a192a6fe,1443690026964.492920,"[-44, -44, -44, -44, -47, -45, -46, -44]",7
001406383590,1443690026967.710938,"[-49, -46, -50, -49, -47, -47, -47, -48]",40
18f643170231,1443690026997.266113,"[-70, -72, -69, -65, -69, -74, -63, -66]",7
3c46d81ced78,1443690027024.030029,"[-71, -76, -60, -74, -72, -65, -62, -69]",7
001406283590,1443690027050.584961,"[-72, -76, -70, -78, -73, -75, -74, -76]",7
f8a9d0024db1,1443690027056.324951,"[-70, -76, -61, -73, -72, -65, -61, -70]",7
76d99dda33f9,1443690027086.239990,"[-48, -45, -45, -47, -49, -45, -45, -47]",40
00cd72ceaa8a,1443690027093.427979,"[-69, -67, -64, -74, -72, -67, -72, -75]",7
18f643170231,1443690027107.553955,"[-68, -69, -69, -77, -67, -74, -74, -74]",7
001406300000,1443690027125.233887,"[-77, -72, -73, -67, -76, -74, -69, -72]",40
3c46d81ced78,1443690027126.341064,"[-71, -75, -66, -75, -72, -71, -71, -73]",7
001406283590,1443690027152.707031,"[-62, -65, -67, -69, -68, -67, -69, -61]",7
001406383590,1443690027172.614014,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690027228.717041,"[-44, -44, -44, -44, -47, -45, -46, -44]",7
001406283590,1443690027255.357910,"[-71, -77, -69, -75, -73, -76, -72, -75]",7
001406300000,1443690027307.919922,"[-48, -45, -45, -47, -49, -45, -45, -46]",40
3c46d81ced78,1443690027331.112061,"[-71, -74, -70, -70, -73, -75, -70, -73]",7
001406283590,1443690027369.082031,"[-53, -55, -62, -62, -62, -58, -63, -52]",7
001406383590,1443690027377.379883,"[-49, -46, -50, -48, -47, -47, -46, -47]",40
3c46d81ced78,1443690027433.627930,"[-71, -77, -69, -80, -73, -77, -78, -77]",7
001406283590,1443690027460.199951,"[-71, -75, -69, -74, -74, -76, -73, -75]",7
00cd72ceaa8a,1443690027503.010010,"[-68, -70, -70, -78, -67, -75, -73, -75]",7
001406300000,1443690027512.812012,"[-48, -45, -45, -47, -49, -45, -45, -46]",40
001406283590,1443690027562.675049,"[-53, -56, -61, -62, -62, -58, -62, -52]",7
001406383590,1443690027582.254883,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690027638.402100,"[-44, -44, -44, -44, -47, -45, -46, -44]",7
001406283590,1443690027665.010986,"[-53, -56, -61, -62, -62, -58, -62, -52]",7
5cf8a192a6fe,1443690027709.789062,"[-48, -45, -45, -47, -49, -45, -45, -46]",40
3c46d81ced78,1443690027740.870117,"[-44, -44, -44, -44, -47, -45, -46, -44]",7
001406300000,1443690027749.160889,"[-71, -70, -66, -57, -71, -76, -61, -67]",40
5cf8a192a6fe,1443690027750.435059,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
645106702e13,1443690027752.406006,"[-53, -56, -61, -59, -61, -58, -63, -52]",7
001406283590,1443690027767.451904,"[-71, -76, -67, -74, -73, -75, -69, -76]",7
001406383590,1443690027787.143066,"[-70, -64, -62, -56, -72, -72, -61, -64]",40
3c46d81ced78,1443690027843.259033,"[-44, -44, -44, -44, -47, -45, -46, -44]",7
001406283590,1443690027881.155029,"[-72, -77, -70, -81, -74, -75, -73, -77]",7
001406300000,1443690027922.472900,"[-48, -45, -45, -47, -50, -45, -45, -47]",40
3c46d81ced78,1443690027945.677002,"[-70, -70, -65, -66, -70, -74, -64, -71]",7
001406283590,1443690027972.306885,"[-58, -60, -57, -63, -64, -56, -52, -54]",7
001406383590,1443690027991.887939,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690028048.017090,"[-72, -76, -70, -74, -73, -76, -72, -76]",7
001406283590,1443690028074.767090,"[-53, -56, -62, -62, -62, -58, -64, -53]",7
001406300000,1443690028127.254883,"[-48, -45, -45, -47, -49, -45, -45, -46]",40
3c46d81ced78,1443690028150.489014,"[-46, -47, -47, -47, -48, -47, -48, -46]",7
001406283590,1443690028177.229980,"[-53, -56, -62, -62, -61, -58, -62, -52]",7
e4907eb4562e,1443690028192.447998,"[-71, -76, -69, -68, -71, -74, -62, -68]",7
001406383590,1443690028196.669922,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
3c46d81ced78,1443690028252.881104,"[-67, -76, -71, -80, -73, -76, -75, -77]",7
001406283590,1443690028279.520020,"[-53, -56, -62, -62, -62, -58, -64, -53]",7
649abeeda32a,1443690028319.821045,"[-48, -45, -45, -47, -50, -45, -45, -46]",40
3c46d81ced78,1443690028355.291992,"[-44, -44, -44, -44, -46, -45, -46, -44]",7
001406300000,1443690028357.205078,"[-77, -74, -77, -65, -77, -79, -69, -72]",40
18f643170231,1443690028389.187012,"[-49, -46, -50, -49, -47, -47, -47, -47]",40
001406283590,1443690028393.288086,"[-72, -76, -71, -80, -74, -75, -76, -77]",7
001406383590,1443690028401.522949,"[-75, -78, -76, -65, -78, -82, -72, -74]",40
acfdec72661b,1443690028411.993896,"[-71, -78, -70, -81, -73, -75, -77, -77]",7
18f643170231,1443690028444.408936,"[-48, -45, -45, -47, -50, -45, -45, -46]",40
3c46d81ced78,1443690028457.827881,"[-70, -74, -66, -73, -73, -75, -68, -75]",7
